Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline,1.1872967013869111e-6,1.1705080905728886e-6,1.206063635740959e-6,6.346057566571064e-8,5.536160094712818e-8,7.774510346167939e-8
eff,1.2798176486509192e-5,1.2660849444911472e-5,1.3079908993437922e-5,5.958840989772167e-7,3.7423333667037545e-7,9.991752909955488e-7
mtl,1.1663895839083784e-6,1.1561251513870599e-6,1.1774800706942456e-6,3.7691054857097294e-8,3.196479013586212e-8,4.763148979182893e-8
fused-effects,1.206574051101826e-6,1.1938019659886701e-6,1.2203759382439482e-6,4.365280299380722e-8,3.480218962241111e-8,5.954233066500473e-8
polysemy,2.4451282509958247e-4,2.4194572390766344e-4,2.475811214480574e-4,9.581200640451055e-6,7.0344395823908606e-6,1.2746639472321234e-5
