Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline,8.711781918033278e-6,8.60564666991416e-6,8.891461965477956e-6,4.545113400621381e-7,3.201862127712541e-7,7.083971681519196e-7
eff,2.4200542033701237e-5,2.3939100537127596e-5,2.4524651307033328e-5,9.417949207096138e-7,7.822332660779093e-7,1.2325083967654501e-6
