Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
baseline,1.234871499295562e-6,1.226849128755168e-6,1.25679572145746e-6,3.8345561857819436e-8,1.8877102783571757e-8,7.484769319204756e-8
eff,1.2515224922677208e-5,1.245539189642789e-5,1.2593830600429735e-5,2.221468449395791e-7,1.6923832465459353e-7,3.152263205741282e-7
mtl,6.39633015212113e-5,6.336930413373704e-5,6.5641509666337e-5,2.9480277176918684e-6,1.265797687405677e-6,5.9638609915246304e-6
fused-effects,1.162132158615809e-4,1.1534987683429527e-4,1.1834003906002367e-4,4.380521340869371e-6,1.997256756246151e-6,8.387112987087759e-6
polysemy,2.765824310971395e-4,2.730682035616084e-4,2.914632736444163e-4,1.9135348471104195e-5,7.409810166664536e-6,4.052263761522204e-5
